ingestionTime,ignition,ioState
"July 11th 2020, 20:08:10.000",false,0
"July 11th 2020, 20:07:10.000",false,0
"July 11th 2020, 20:06:10.000",false,0
"July 11th 2020, 20:05:10.000",false,0
"July 11th 2020, 20:04:10.000",false,0
"July 11th 2020, 20:03:10.000",false,0
"July 11th 2020, 20:02:10.000",false,0
"July 11th 2020, 20:01:10.000",false,0
"July 11th 2020, 20:00:10.000",false,0
"July 11th 2020, 19:59:10.000",false,0
"July 11th 2020, 19:58:36.000",false,0
"July 11th 2020, 19:58:10.000",false,0
"July 11th 2020, 19:57:10.000",false,0
"July 11th 2020, 19:56:10.000",false,0
"July 11th 2020, 19:55:09.000",false,0
"July 11th 2020, 19:54:28.000",false,0
"July 11th 2020, 19:54:10.000",false,0
"July 11th 2020, 19:54:09.000",false,0
"July 11th 2020, 19:53:45.000",true,1000000
"July 11th 2020, 19:53:38.000",true,1000000
"July 11th 2020, 19:53:33.000",true,1000000
"July 11th 2020, 19:53:28.000",true,1000000
"July 11th 2020, 19:53:22.000",true,1000000
"July 11th 2020, 19:53:20.000",true,1000000
,,10000000
,,11000000
,,10000000
,,11000000
,,10000000
,,11000000
,,10000000
,,11000000
